id_poi;Nom;Categorie;Ville;CP;Rue;Verdict_initial;Adresse_GPS;lat_old;lon_old;lat_new;lon_new;adresse_geocodee;strategie_utilisee;correction_status
;Balade contée à la découverte des plantes sauvages;event;montroty;76220;place de l'église;PARFAIT Ville+CP+Rue;place de l'église, montroty, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.4385183;1.6663457;49.4385183;1.6663457;;;✅✅CONSERVE_PARFAIT
;Camping de La Vallée;accommodation;gueures;76730;101 rue de la vallée;A VERIFIER Ville|CP;camping de la vallée, 101, rue de la vallée, gueures, dieppe, seine-maritime, normandie, france métropolitaine, 76550, france;49.8520058;0.95844845;49.8513991;0.9582285;Camping de la Vallée, 101, Rue de la Vallée, Gueures, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France;nom+ville;✅CORRIGE
;Concert L'Espoir de Patrick : Vaince la maladie de Charcot;event;val-de-scie;76720;collégiale notre dame d'auffay;PARFAIT Ville+CP+Rue;collégiale notre-dame, rue du maréchal foch, auffay, val-de-scie, dieppe, seine-maritime, normandie, france métropolitaine, 76720, france;49.7194298;1.0999193;49.7194298;1.0999193;;;✅✅CONSERVE_PARFAIT
;Découverte poterie/céramique;event;quiberville;76860;335 rue des anémones;PARFAIT Ville+CP+Rue;335, rue des anémones, quiberville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.9030684;0.9169327;49.9030684;0.9169327;;;✅✅CONSERVE_PARFAIT
;Marché traditionnel;event;fontaine-le-dun;76740;centre bourg;OK Ville+CP;place du docteur arthur courbe, rue édouard loisel, fontaine-le-dun, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.8127592;0.85020426;49.8127592;0.85020426;;;PAS_TROUVE
;Visite de la Base de lancement V1 à Motteville;event;motteville;76970;avenue des comtes de germiny;PARFAIT Ville+CP+Rue;avenue des comtes-de-germiny, cité courageux, motteville, rouen, seine-maritime, normandie, france métropolitaine, 76970, france;49.62762;0.84557;49.62762;0.84557;;;✅✅CONSERVE_PARFAIT
;Office de Tourisme Normandie Caux Vexin;activity;buchy;76750;42 place du général de gaulle;OK Ville+CP;place du général de gaulle, buchy, rouen, seine-maritime, normandie, france métropolitaine, 76750, france;49.5849795;1.3587945;49.5851111;1.3586837;Place du Général de Gaulle, Buchy, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76750, France;adresse_seule;✅CORRIGE
;Accueil bébé à la bibliothèque;event;luneray;76810;47 rue du général de gaulle;OK Ville+CP;rue du général de gaulle, canteleu, luneray, dieppe, seine-maritime, normandie, france métropolitaine, 76810, france;49.8257162;0.91212676;49.8260699;0.9120828;Rue du Général de Gaulle, Canteleu, Luneray, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76810, France;adresse_seule;✅CORRIGE
;Gîtes de France® - Le Rançon;accommodation;touffreville-la-corbeline;76190;758, route de rançon;PARFAIT Ville+CP+Rue;route de rançon, touffreville-la-corbeline, rouen, seine-maritime, normandie, france métropolitaine, 76190, france;49.5778055;0.75875;49.5778055;0.75875;;;✅✅CONSERVE_PARFAIT
;Port en Vue;accommodation;fécamp;76400;69 quai berigny;PARFAIT Ville+CP+Rue;boulangerie patisserie trop chou, 69, quai bérigny, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.7601482;0.3687034;49.7601482;0.3687034;;;✅✅CONSERVE_PARFAIT
;[Échange] Apéritif franglais;event;dieppe;76200;hôtel mercure;OK Ville+CP;1, boulevard de verdun, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.92559;1.07168;49.92559;1.07168;;;PAS_TROUVE
;Première Classe Rouen Nord Bois-Guillaume Louvre Hôtels;accommodation;bois-guillaume;76230;1 rue georges de buffon;OK Ville+CP;tchip coiffure, 45, rue georges de buffon, zone d'activités commerciales des bocquets, la bretèque, bois-guillaume, rouen, seine-maritime, normandie, france métropolitaine, 76230, france;49.4748671;1.109595;49.4742374;1.1097705;Rue Georges de Buffon, Technoparc des Bocquets, La Bretèque, Bois-Guillaume, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76230, France;adresse_seule;✅CORRIGE
;La Maison de Julia;accommodation;fécamp;76400;28 rue de la plage;OK Ville+CP;rue de la plage, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.76045;0.36363;49.7590643;0.361993;Rue de la Plage, Fécamp, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76400, France;adresse_seule;✅CORRIGE
;Le Pti Cosy;accommodation;le tréport;76470;4 rue de la rade;OK Ville+CP;rue de la rade, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.06206;1.37014;50.0617223;1.3691422;Rue de la Rade, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Centre médico infirmier des Bruyères;shop;sotteville-lès-rouen;76300;5 rue du docteur cornet;PARFAIT Ville+CP+Rue;maison de santé des bruyères, 5, rue du docteur cornet, sotteville-lès-rouen, rouen, seine-maritime, normandie, france métropolitaine, 76300, france;49.4138675;1.0749511;49.4138675;1.0749511;;;✅✅CONSERVE_PARFAIT
;Petit train touristique de Dieppe;activity;dieppe;76200;quai henri iv;PARFAIT Ville+CP+Rue;71, quai henri iv, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9285629;1.081759;49.9285629;1.081759;;;✅✅CONSERVE_PARFAIT
;Sortie nature : Inventaire naturaliste;event;montivilliers;76290;25 rue du nord;PARFAIT Ville+CP+Rue;25, rue du nord, les lombards, montivilliers, le havre, seine-maritime, normandie, france métropolitaine, 76290, france;49.554264;0.181841;49.554264;0.181841;;;✅✅CONSERVE_PARFAIT
;Gîte du Jardin de Bois-Guilbert;accommodation;bois-guilbert;76750;1108 route d'héronchelles;OK Ville+CP;238, route d'argueil, bois-guilbert, rouen, seine-maritime, normandie, france métropolitaine, 76750, france;49.54555;1.4124;49.538139;1.4038673;Le Jardin des Sculptures, 1108, Route d'Héronchelles, Bois-Guilbert, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76750, France;adresse_seule;✅CORRIGE
;La Fête à Paulette;other;buchy;76750;1 place du général de gaulle;OK Ville+CP;grande rue, buchy, rouen, seine-maritime, normandie, france métropolitaine, 76750, france;49.5849059;1.358793;49.5851111;1.3586837;Place du Général de Gaulle, Buchy, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76750, France;adresse_seule;✅CORRIGE
;Visite : Les Cordiers au temps des bains de mer;event;le tréport;76470;esplanade louis aragon;PARFAIT Ville+CP+Rue;esplanade de la plage, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.0620054;1.36779197;50.0620054;1.36779197;;;✅✅CONSERVE_PARFAIT
;Les Maréchaux;activity;hodeng-hodenger;76780;;OK Ville+CP;route principale, hodenger, hodeng-hodenger, dieppe, seine-maritime, normandie, france métropolitaine, 76780, france;49.5296647;1.56871301;49.5296647;1.56871301;;;PAS_TROUVE
;Sissi;activity;sassetot-le-mauconduit;76540;;OK Ville+CP;rue elisabeth ii d'autriche, sassetot-le-mauconduit, le havre, seine-maritime, normandie, france métropolitaine, 76540, france;49.8039;0.531785;49.8039;0.531785;;;PAS_TROUVE
;Les Hauts Champs;shop;lillebonne;76170;49 rue de la bossaye;OK Ville+CP;producteur bonnal (pommes), rue de la bossaye, lillebonne, le havre, seine-maritime, normandie, france métropolitaine, 76170, france;49.5167511;0.5293548;49.1632524;0.1888793;Les Hauts Champs, Saint-Désir, Lisieux, Calvados, Normandie, France métropolitaine, 14100, France;nom+cp;✅CORRIGE
;Concert Jazz;event;sigy-en-bray;76780;264 rue du mont grard;OK Ville+CP;rue du mont grard, sigy-en-bray, dieppe, seine-maritime, normandie, france métropolitaine, 76780, france;49.535812;1.4606259;49.5361695;1.4608595;Rue du Mont Grard, Sigy-en-Bray, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76780, France;adresse_seule;✅CORRIGE
;L'orangerie du Château de Motteville;accommodation;motteville;76970;357 rue alexis ricordel;PARFAIT Ville+CP+Rue;357, rue alexis-ricordel, motteville, rouen, seine-maritime, normandie, france métropolitaine, 76970, france;49.636408;0.849763;49.636408;0.849763;;;✅✅CONSERVE_PARFAIT
;Le Clos des Marnières;activity;canville-les-deux-églises;76560;;OK Ville+CP;impasse roger douville, canville-les-deux-églises, rouen, seine-maritime, normandie, france métropolitaine, 76560, france;49.7704359;0.84103;49.7704359;0.84103;;;PAS_TROUVE
;M. LAMBRY David;accommodation;le tréport;76470;11 rue de l'anguainerie;OK Ville+CP;rue de l'anguainerie, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.060723;1.370851;50.0607307;1.3707684;Rue de l'Anguainerie, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Masterclass photo : Photo animalière;event;clères;76690;32 avenue du parc;OK Ville+CP;avenue du parc, grand cordelleville, clères, rouen, seine-maritime, normandie, france métropolitaine, 76690, france;49.59786;1.110454;49.5965399;1.1103706;Avenue du Parc, Grand Cordelleville, Clères, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76690, France;adresse_seule;✅CORRIGE
;Yport, cité balnéaire de Charme;nature;yport;76111;;OK Ville+CP;4, rue ernest lethuillier, la ferme des sapins, yport, le havre, seine-maritime, normandie, france métropolitaine, 76111, france;49.737262;0.31399999;49.737262;0.31399999;;;PAS_TROUVE
;Restaurant Normand Yport;accommodation;yport;76111;2 place jean-paul laurens;PARFAIT Ville+CP+Rue;2, place jean-paul laurens, la ferme des sapins, yport, le havre, seine-maritime, normandie, france métropolitaine, 76111, france;49.7386642;0.3124353;49.7386642;0.3124353;;;✅✅CONSERVE_PARFAIT
;Aire de stationnement et de service la Ferme du Cèdre;accommodation;foucart;76640;731 bis route année;OK Ville+CP;route du année, foucart, le havre, seine-maritime, normandie, france métropolitaine, 76640, france;49.603992;0.600182;49.606587;0.5969917;Route du Année, Foucart, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76640, France;adresse_seule;✅CORRIGE
;Les petits bois;activity;neuf-marché;76220;;OK Ville+CP;rue neuve des fosses, neuf-marché, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.42108;1.71608;49.42108;1.71608;;;PAS_TROUVE
;Atelier petite enfance - Les fleurs;event;clères;76690;32 avenue du parc;OK Ville+CP;rue du comte de béarn, clères, rouen, seine-maritime, normandie, france métropolitaine, 76690, france;49.5982617;1.1102176;49.5965399;1.1103706;Avenue du Parc, Grand Cordelleville, Clères, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76690, France;adresse_seule;✅CORRIGE
;O2 Horizon;accommodation;le tréport;76470;23 rue flandres dunkerque;OK Ville+CP;o2 horizon, rue flandres-dunkerque, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.0583575;1.3688508;50.0583701;1.3683401;Rue Flandres-Dunkerque, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Entre mer et forêt;accommodation;le tréport;76470;53 rue saint nicolas;OK Ville+CP;rue saint-nicolas, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.056997;1.38492;50.0570034;1.3847482;Rue Saint-Nicolas, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;La Campagnarde;accommodation;dampierre-en-bray;76220;936 chemin des planques;OK Ville+CP;524, chemin des planques, le long perrier, dampierre-en-bray, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.53661;1.657439;49.540234;1.658596;936, Chemin des Planques, Le Long Perrier, Dampierre-en-Bray, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76220, France;adresse_seule;✅CORRIGE
;Mercredi savoir-faire : découverte des glaces Cow'choises;event;quiberville;76860;360 route des plaines;PARFAIT Ville+CP+Rue;360, route des plaines, quiberville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76860, france;49.8964583;0.9111837;49.8964583;0.9111837;;;✅✅CONSERVE_PARFAIT
;[Villa Augustine] Appartement Séraphine;accommodation;dieppe;76200;8 rue de blainville;PARFAIT Ville+CP+Rue;8, rue de blainville, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.92189;1.07615;49.92189;1.07615;;;✅✅CONSERVE_PARFAIT
;Grande Soirée cabaret;event;le mesnil-réaume;76260;101 rue rené delcourt;PARFAIT Ville+CP+Rue;la berquerie, 101, rue rené delcourt, le mesnil-réaume, dieppe, seine-maritime, normandie, france métropolitaine, 76260, france;49.9801168;1.4466774;49.9801168;1.4466774;;;✅✅CONSERVE_PARFAIT
;Chèvrerie, Ferme pédagogique du Val de Bures;culture;bellencombre;76680;route des longs vallons;PARFAIT Ville+CP+Rue;rue des longs-vallons, bellencombre, dieppe, seine-maritime, normandie, france métropolitaine, 76680, france;49.7053789;1.2483635;49.7053789;1.2483635;;;✅✅CONSERVE_PARFAIT
;Aire de pique-nique de Grugny;activity;grugny;76690;;OK Ville+CP;route de l'établissement, grugny, rouen, seine-maritime, normandie, france métropolitaine, 76690, france;49.617255;1.105041;49.617255;1.105041;;;PAS_TROUVE
;Village de gîtes Le Pré Marin;accommodation;sotteville-sur-mer;76740;99 rue jean antheaume;OK Ville+CP;rue jean antheaume, sotteville-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.8808794;0.82999378;49.8806637;0.8301379;99, Rue Jean Antheaume, Sotteville-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76740, France;adresse_seule;✅CORRIGE
;Hôtel Windsor;accommodation;dieppe;76200;18 boulevard de verdun;PARFAIT Ville+CP+Rue;18, boulevard de verdun, dieppe, seine-maritime, normandie, france métropolitaine, 76200, france;49.9273148;1.07628021;49.9273148;1.07628021;;;✅✅CONSERVE_PARFAIT
;Aéroclub : porte ouverte 2025;event;eu;76260;aéroclub de l'hermitage : eu - le tréport - mers-les-bains;NON_TROUVE;avenue du maréchal foch, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.063687;1.3775148;50.063687;1.3775148;;;PAS_TROUVE
;Gîtes de France® - Le Grand Morin;accommodation;la gaillarde;76740;3a, rue sous l'eglise;OK Ville+CP;chemin de la léproserie, la valette, la gaillarde, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.8384166;0.86025;49.8374062;0.8594545;Rue sous l'Église, La Valette, La Gaillarde, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76740, France;adresse_seule;✅CORRIGE
;Brithotel Rouen Centre;accommodation;rouen;76000;33 boulevard gambetta;PARFAIT Ville+CP+Rue;brit hotel rouen centre, 33, boulevard gambetta, quartier saint-marc / croix de pierre / saint-nicaise, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.438762;1.10925499;49.438762;1.10925499;;;✅✅CONSERVE_PARFAIT
;Caux'té Nuit : Grand jeu nocturne;event;gonfreville-caillot;76110;160 route de goderville;OK Ville+CP;chemin de la ferme fleury, gonfreville-caillot, le havre, seine-maritime, normandie, france métropolitaine, 76110, france;49.6517637;0.4352659;49.6515715;0.4341673;Route de Goderville, Gonfreville-Caillot, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76110, France;adresse_seule;✅CORRIGE
;Sente aux Fées à cheval;activity;belleville-en-caux;76890;;OK Ville+CP;route de l'étang, le grand mesnil, belleville-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76890, france;49.7039432;0.99047155;49.7039432;0.99047155;;;PAS_TROUVE
;Concert à l'envers oh croco : Ouistreham (rock);event;val-de-scie;76720;6 place de la république;OK Ville+CP;oh ! croco, rue narcisse dufour, auffay, val-de-scie, dieppe, seine-maritime, normandie, france métropolitaine, 76720, france;49.7176358;1.0993315;49.7174954;1.0994866;Place de la République, Auffay, Val-de-Scie, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76720, France;adresse_seule;✅CORRIGE
;La Pomme du Pougard;event;auppegard;76730;;OK Ville+CP;rue de l'église, auppegard, dieppe, seine-maritime, normandie, france métropolitaine, 76730, france;49.829445;1.025201;49.829445;1.025201;;;PAS_TROUVE
;Gîtes de France® - Entre mer et grès;accommodation;gueutteville-les-grès;76460;1242 rue des tisserands;OK Ville+CP;690, rue des tisserands, gueutteville-les-grès, dieppe, seine-maritime, normandie, france métropolitaine, 76460, france;49.841;0.7617;49.843505;0.76779;1242, Rue des Tisserands, Gueutteville-les-Grès, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76460, France;adresse_seule;✅CORRIGE
;Ferme de Manéholt - Poulet Lecoq;shop;manéhouville;76590;hameau de catteville;PARFAIT Ville+CP+Rue;n 27, catteville, manéhouville, dieppe, seine-maritime, normandie, france métropolitaine, 76590, france;49.8235072;1.06524855;49.8235072;1.06524855;;;✅✅CONSERVE_PARFAIT
;Alter Klavass;food;elbeuf;76500;10 rue raymond dendeville;OK Ville+CP;rue raymond dendeville, le puchot, elbeuf, rouen, seine-maritime, normandie, france métropolitaine, 76500, france;49.2916751;1.0085106;49.292465;1.0089766;Rue Raymond Dendeville, Le Puchot, Elbeuf, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76500, France;adresse_seule;✅CORRIGE
;Musée Industriel de la Corderie Vallois;culture;notre-dame-de-bondeville;76960;185 route de dieppe;PARFAIT Ville+CP+Rue;185 bis, route de dieppe, plein soleil, notre-dame-de-bondeville, rouen, seine-maritime, normandie, france métropolitaine, 76960, france;49.4945533;1.04850529;49.4945533;1.04850529;;;✅✅CONSERVE_PARFAIT
;Concert de musique classique;event;saint-aubin-sur-mer;76740;eglise;OK Ville+CP;204, rue de l'isolette, saint-aubin-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76740, france;49.888069;0.875475;49.888069;0.875475;;;PAS_TROUVE
;Val Jacob à VTT;activity;fallencourt;76340;;OK Ville+CP;8, rue de la mairie, fallencourt, dieppe, seine-maritime, normandie, france métropolitaine, 76340, france;49.8685489;1.56683299;49.8685489;1.56683299;;;PAS_TROUVE
;La Laiterie, Abbaye du Valasse;food;gruchet-le-valasse;76210;289 rue de la briarderie;OK Ville+CP;abbaye du valasse, route de l'abbaye, gruchet-le-valasse, le havre, seine-maritime, normandie, france métropolitaine, 76210, france;49.5371653;0.5051463;49.5377282;0.5002307;Rue de la Briarderie, Gruchet-le-Valasse, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76210, France;adresse_seule;✅CORRIGE
;Valleuse d'Antifer;nature;la poterie-cap-d'antifer;76280;;OK Ville+CP;rue d'antifer, la place, la poterie-cap-d'antifer, le havre, seine-maritime, normandie, france métropolitaine, 76280, france;49.693303;0.18224;49.693303;0.18224;;;PAS_TROUVE
;Portes ouvertes à la Ferme de Bonnetot : Distillation en live !;event;tôtes;76890;3 hameau de bonnetôt;OK Ville+CP;d 101, tôtes, dieppe, seine-maritime, normandie, france métropolitaine, 76890, france;49.701246;1.0456941;49.70246;1.0451847;Hameau de Bonnetot, Tôtes, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76890, France;adresse_seule;✅CORRIGE
;Gîtes de France® - L'Ancienne Etable;accommodation;cauville-sur-mer;76930;hameau de rimbertot;PARFAIT Ville+CP+Rue;rue de rimbertot, rimbertot, cauville-sur-mer, le havre, seine-maritime, normandie, france métropolitaine, 76930, france;49.5997;0.14793056;49.5997;0.14793056;;;✅✅CONSERVE_PARFAIT
;Bar - Bowling du Lac de Caniel;activity;vittefleur;76450;rue du dessous des bois;OK Ville+CP;restaurant du lac de caniel, rue du lac, caniel, vittefleur, dieppe, seine-maritime, normandie, france métropolitaine, 76450, france;49.8012418;0.63219832;49.8038729;0.6301854;Rue du Dessous des Bois, Crosville, Vittefleur, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76450, France;adresse_seule;✅CORRIGE
;"Conférence ""L'expérience des limites dans Bouvard et Pécuchet de Gustave Flaubert (1881)""";event;rouen;76000;26bis rue jean lecanuet;PARFAIT Ville+CP+Rue;26 bis, rue jean lecanuet, vieux-marché-cathédrale, quartier vieux-marché cathédrale, rouen, seine-maritime, normandie, france métropolitaine, 76000, france;49.4444151;1.0940834;49.4444151;1.0940834;;;✅✅CONSERVE_PARFAIT
;Le Pigeonnier du Maucomble;accommodation;écrainville;76110;765 rue du maucomble;OK Ville+CP;écrainville, le havre, seine-maritime, normandie, france métropolitaine, 76110, france;49.6539368;0.30457468;49.6569011;0.2971592;Rue du Maucomble, Écrainville, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76110, France;adresse_seule;✅CORRIGE
;Théâtre comédie : Hold-up et bras cassés;event;le tréport;76470;avenue des canadiens;OK Ville+CP;salle serge reggiani, rue de la digue, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.057904;1.3859652;50.0577996;1.3839765;Avenue des Canadiens, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Rallye des familles;event;saint-clair-sur-les-monts;76190;;OK Ville+CP;église saint-clair, rue de l'église, la petite croix, saint-clair-sur-les-monts, rouen, seine-maritime, normandie, france métropolitaine, 76190, france;49.606797;0.7841;49.606797;0.7841;;;PAS_TROUVE
;Visite guidée - Criel-sur-Mer : Circuit du patrimoine architectural;event;criel-sur-mer;76910;manoir de briançon;OK Ville+CP;place du général de gaulle, criel plage, criel-sur-mer, dieppe, seine-maritime, normandie, france métropolitaine, 76910, france;50.017558;1.3158049;50.0176282;1.3156878;Manoir de Briançon, Place du Général de Gaulle, Criel Plage, Criel-sur-Mer, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76910, France;adresse_seule;✅CORRIGE
;Escargot du Mont Réal;shop;beauvoir-en-lyons;76220;11 rue du mont réal;OK Ville+CP;rue du mont réal, beauvoir-en-lyons, dieppe, seine-maritime, normandie, france métropolitaine, 76220, france;49.483893;1.611108;49.4831365;1.6101823;Rue du Mont Réal, Beauvoir-en-Lyons, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76220, France;adresse_seule;✅CORRIGE
;Le Chemin Vert du Petit Caux à cheval;activity;eu;76260;;OK Ville+CP;teepee, chemin vert du petit caux, eu, dieppe, seine-maritime, normandie, france métropolitaine, 76260, france;50.0448685;1.42624162;50.0448685;1.42624162;;;PAS_TROUVE
;Visite guidée : La Collégiale des bâtisseurs;event;val-de-scie;76720;21 place du général de gaulle;OK Ville+CP;rue de sainte-catherine, sainte-catherine, auffay, val-de-scie, dieppe, seine-maritime, normandie, france métropolitaine, 76720, france;49.7214885;1.1196014;49.7190965;1.0996453;Place du Général de Gaulle, Auffay, Val-de-Scie, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76720, France;adresse_seule;✅CORRIGE
;[Exposition] Anne Jolly, Corinne Lepicard, Nathalie Petit & Marie-Christine Sergent;event;offranville;76550;/ 453 rue louis loucheur;OK Ville+CP;rue louis loucheur, le ris, offranville, dieppe, seine-maritime, normandie, france métropolitaine, 76550, france;49.8726358;1.0438192;49.8717457;1.042393;Camping du Colombier, 453, Rue Louis Loucheur, Le Ris, Offranville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France;adresse_seule;✅CORRIGE
;Des Sources de la Saâne à la Couture;activity;val-de-saâne;76890;;OK Ville+CP;113, place daniel boucour, résidence des peupliers, anglesqueville, val-de-saâne, dieppe, seine-maritime, normandie, france métropolitaine, 76890, france;49.7063983;0.96432364;49.7063983;0.96432364;;;PAS_TROUVE
;Gîtes de France® - L'Orangerie;accommodation;hugleville-en-caux;76570;676 bis route du petit gretot;OK Ville+CP;gretôt, route de grétot, hugleville-en-caux, rouen, seine-maritime, normandie, france métropolitaine, 76570, france;49.6218055;0.99388889;49.6127297;1.004697;Route du Petit Gretot, Grosfy, Hugleville-en-Caux, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76570, France;adresse_seule;✅CORRIGE
;Sarl Jean-Marc Malo;shop;goderville;76110;100 ferme montier;OK Ville+CP;goderville, le havre, seine-maritime, normandie, france métropolitaine, 76110, france;49.6573795;0.32977357;49.6573795;0.32977357;;;PAS_TROUVE
;Commémoration des anciens combattants;event;gueures;76730;mairie;OK Ville+CP;56, rue de la vallée, gueures, dieppe, seine-maritime, normandie, france métropolitaine, 76730, france;49.8428876;0.9630404;49.8431178;0.9631348;Mairie de Gueures, Rue de la Vallée, Gueures, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76730, France;adresse_seule;✅CORRIGE
;La Calypso;food;le tréport;76470;47, quai françois 1er;PARFAIT Ville+CP+Rue;la calypso, quai françois 1er, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.061951;1.37059769;50.061951;1.37059769;;;✅✅CONSERVE_PARFAIT
;Revue Fascination 2026 Déjeuner-Dîner Spectacle au Cabaret Le puits enchanté;event;doudeville;76560;zone d'activités du champ de courses;PARFAIT Ville+CP+Rue;rue du champ de course, bosc malterre, seltot, doudeville, rouen, seine-maritime, normandie, france métropolitaine, 76560, france;49.712032;0.802608;49.712032;0.802608;;;✅✅CONSERVE_PARFAIT
;Club Nautique Valeriquais;activity;saint-valery-en-caux;76460;40 quai du havre;OK Ville+CP;avenue clemenceau, la grande route, saint-valery-en-caux, dieppe, seine-maritime, normandie, france métropolitaine, 76460, france;49.8668954;0.70987783;49.866811;0.7098134;40, Quai du Havre, La Grande Route, Saint-Léger, Saint-Valery-en-Caux, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76460, France;adresse_seule;✅CORRIGE
;Mme BOISSY Audrey;accommodation;le tréport;76470;112 rue suzanne;OK Ville+CP;rue suzanne, le tréport, dieppe, seine-maritime, normandie, france métropolitaine, 76470, france;50.05683;1.37176;50.0547896;1.3712478;Rue Suzanne, Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France;adresse_seule;✅CORRIGE
;Gîtes de France® - L'Avant la Prée;accommodation;saint-martin-osmonville;76680;la prée;PARFAIT Ville+CP+Rue;route du pucheuil, la prée, saint-martin-osmonville, dieppe, seine-maritime, normandie, france métropolitaine, 76680, france;49.6263;1.27795278;49.6263;1.27795278;;;✅✅CONSERVE_PARFAIT
;Masterclass photo : Photo nocturne et architecture;event;clères;76690;32 avenue du parc;OK Ville+CP;avenue du parc, grand cordelleville, clères, rouen, seine-maritime, normandie, france métropolitaine, 76690, france;49.59786;1.110454;49.5965399;1.1103706;Avenue du Parc, Grand Cordelleville, Clères, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76690, France;adresse_seule;✅CORRIGE
;Boucle de l'Agrion de Mercure;activity;blangy-sur-bresle;76340;4 rue chekroun;OK Ville+CP;rue georges chekroun, fontaine, blangy-sur-bresle, dieppe, seine-maritime, normandie, france métropolitaine, 76340, france;49.93265;1.63077;49.9324096;1.6330644;Rue Georges Chekroun, Fontaine, Blangy-sur-Bresle, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76340, France;adresse_seule;✅CORRIGE
;Randonnée à Incheville;event;blangy-sur-bresle;76340;zone de loisirs;OK Ville+CP;blangy-sur-bresle, dieppe, seine-maritime, normandie, france métropolitaine, 76340, france;49.9241447;1.65499106;49.9241447;1.65499106;;;PAS_TROUVE
;Théâtre Le Passage;activity;fécamp;76400;54 rue jules ferry;OK Ville+CP;le passage, rue jules ferry, fécamp, le havre, seine-maritime, normandie, france métropolitaine, 76400, france;49.7575082;0.37227281;49.7573268;0.37194;Rue Jules Ferry, Fécamp, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76400, France;adresse_seule;✅CORRIGE
